0	8	8
0.200000000000000	9	55
0.400000000000000	0	74
0.600000000000000	10	90
0.800000000000000	20	105
1	29	120
1.20000000000000	36	134
1.40000000000000	43	147
1.60000000000000	49	159
1.80000000000000	53	172
2	57	184
2.20000000000000	60	195
2.40000000000000	62	206
2.60000000000000	64	217
2.80000000000000	65	228
3	65	239
3.20000000000000	65	249
3.40000000000000	65	260
3.60000000000000	65	270
3.80000000000000	66	280
4	67	290
4.20000000000000	69	299
4.40000000000000	73	309
4.60000000000000	77	318
4.80000000000000	84	327
5	93	336
5.20000000000000	115	330
5.40000000000000	128	335
5.60000000000000	145	333
5.80000000000000	158	335
6	170	337
6.20000000000000	181	340
6.40000000000000	190	343
6.60000000000000	198	346
6.80000000000000	204	350
7	210	353
7.20000000000000	214	357
7.40000000000000	218	360
7.60000000000000	220	364
7.80000000000000	221	367
8	222	371
8.20000000000000	222	374
8.40000000000000	221	378
8.60000000000000	219	381
8.80000000000000	217	385
9	215	389
9.20000000000000	212	393
9.40000000000000	209	397
9.60000000000000	206	402
9.80000000000000	203	407
10	200	412
10.2000000000000	204	411
10.4000000000000	205	415
10.6000000000000	209	415
10.8000000000000	212	417
11	216	419
11.2000000000000	220	422
11.4000000000000	225	424
11.6000000000000	229	428
11.8000000000000	235	431
12	240	435
12.2000000000000	246	439
12.4000000000000	252	444
12.6000000000000	259	449
12.8000000000000	267	454
13	274	460
13.2000000000000	283	466
13.4000000000000	292	472
13.6000000000000	301	479
13.8000000000000	311	487
14	322	495
14.2000000000000	333	503
14.4000000000000	345	512
14.6000000000000	358	522
14.8000000000000	371	532
15	385	542
15.2000000000000	408	545
15.4000000000000	425	553
15.6000000000000	446	558
15.8000000000000	466	565
16	484	571
16.2000000000000	502	579
16.4000000000000	520	586
16.6000000000000	536	593
16.8000000000000	552	600
17	567	607
17.2000000000000	581	614
17.4000000000000	594	621
17.6000000000000	607	627
17.8000000000000	618	633
18	629	638
18.2000000000000	640	643
18.4000000000000	649	647
18.6000000000000	658	651
18.8000000000000	667	654
19	674	657
19.2000000000000	681	659
19.4000000000000	688	661
19.6000000000000	694	662
19.8000000000000	699	662
20	704	663
20.2000000000000	701	668
20.4000000000000	702	668
20.6000000000000	698	671
20.8000000000000	694	671
21	688	670
21.2000000000000	682	668
21.4000000000000	674	665
21.6000000000000	665	660
21.8000000000000	655	655
22	643	648
22.2000000000000	630	640
22.4000000000000	616	631
22.6000000000000	600	621
22.8000000000000	583	610
23	565	599
23.2000000000000	545	586
23.4000000000000	523	573
23.6000000000000	500	560
23.8000000000000	475	546
24	448	532
24.2000000000000	420	519
24.4000000000000	389	506
24.6000000000000	356	494
24.8000000000000	321	484
25	283	476
25.2000000000000	258	462
25.4000000000000	225	456
25.6000000000000	202	447
25.8000000000000	180	440
26	161	435
26.2000000000000	147	430
26.4000000000000	137	426
26.6000000000000	131	421
26.8000000000000	130	416
27	134	410
27.2000000000000	141	405
27.4000000000000	151	399
27.6000000000000	164	393
27.8000000000000	178	387
28	193	382
28.2000000000000	209	378
28.4000000000000	226	375
28.6000000000000	242	372
28.8000000000000	257	370
29	272	368
29.2000000000000	287	368
29.4000000000000	301	367
29.6000000000000	314	367
29.8000000000000	327	367
30	339	367
30.2000000000000	345	375
30.4000000000000	356	379
30.6000000000000	365	387
30.8000000000000	375	395
31	386	404
31.2000000000000	397	414
31.4000000000000	409	424
31.6000000000000	422	435
31.8000000000000	436	447
32	450	460
32.2000000000000	466	473
32.4000000000000	481	488
32.6000000000000	498	503
32.8000000000000	515	519
33	533	535
33.2000000000000	551	553
33.4000000000000	571	571
33.6000000000000	590	590
33.8000000000000	611	610
34	632	631
34.2000000000000	654	652
34.4000000000000	677	674
34.6000000000000	700	697
34.8000000000000	725	721
35	749	745
35.2000000000000	768	764
35.4000000000000	784	781
35.6000000000000	796	793
35.8000000000000	803	801
36	806	804
36.2000000000000	805	803
36.4000000000000	799	797
36.6000000000000	789	787
36.8000000000000	774	773
37	756	754
37.2000000000000	733	732
37.4000000000000	706	704
37.6000000000000	674	673
37.8000000000000	638	637
38	598	597
38.2000000000000	553	552
38.4000000000000	504	504
38.6000000000000	451	450
38.8000000000000	394	393
39	332	331
39.2000000000000	266	265
39.4000000000000	195	195
39.6000000000000	120	120
39.8000000000000	41	41
40	41	41
